srma_index,included_in_original,fp,fn,tp,tn,total,fpr,fnr,sensitivity,specificity
1,32,1437,1,28,11495,12961,0.111,0.034,0.966,0.888
2,12,264,0,12,8250,8526,0.031,0.000,1.000,0.967
3,113,1163,2,89,4539,5793,0.204,0.022,0.978,0.796
4,45,205,0,31,11420,11656,0.018,0.000,1.000,0.982
5,9,234,0,8,2183,2425,0.097,0.000,1.000,0.903
6,16,167,1,13,1105,1286,0.130,0.070,0.930,0.870
7,15,228,0,15,1656,1899,0.120,0.000,1.000,0.880
8,13,538,0,10,2896,3444,0.157,0.000,1.000,0.843
9,14,63,0,11,509,583,0.110,0.000,1.000,0.890
10,10,94,0,8,2462,2564,0.037,0.000,1.000,0.963
11,10,19,0,10,135,164,0.123,0.000,1.000,0.844
12,28,277,1,23,7827,8128,0.034,0.040,0.960,0.966
13,27,760,0,19,11159,11938,0.064,0.000,1.000,0.936
14,25,65,1,12,250,328,0.187,0.077,0.923,0.794
15,111,585,2,81,1160,1828,0.335,0.020,0.980,0.665
